Linux 2.6.32-358.2.1.el6.x86_64 (n020303) 	2013-05-30 	_x86_64_	(24 CPU)

00:00:01          DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
00:10:01      dev8-16     20,81      0,67   4955,84    238,22      0,07      3,43      2,71      5,63
00:10:01       dev8-0     21,25      1,88   4954,21    233,22      0,07      3,38      2,66      5,66
00:10:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
00:10:01       dev9-1      0,86      0,87      6,59      8,67      0,00      0,00      0,00      0,00
00:10:01       dev9-3     94,25      0,65   9892,30    104,97      0,00      0,00      0,00      0,00
00:10:01       dev9-2      0,12      0,93      0,00      8,00      0,00      0,00      0,00      0,00
00:20:01      dev8-16     22,71      0,01   5410,96    238,31      0,08      3,32      2,62      5,95
00:20:01       dev8-0     22,80      0,00   5410,07    237,25      0,08      3,29      2,63      6,01
00:20:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
00:20:01       dev9-1      0,72      0,00      5,77      8,00      0,00      0,00      0,00      0,00
00:20:01       dev9-3    102,60      0,00  10805,60    105,31      0,00      0,00      0,00      0,00
00:20:01       dev9-2      0,00      0,01      0,00      8,00      0,00      0,00      0,00      0,00
00:30:01      dev8-16     21,96      0,00   5382,34    245,09      0,08      3,66      2,72      5,97
00:30:01       dev8-0     22,10      0,01   5383,14    243,56      0,08      3,61      2,73      6,03
00:30:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
00:30:01       dev9-1      0,75      0,00      5,95      7,98      0,00      0,00      0,00      0,00
00:30:01       dev9-3    101,40      0,01  10749,62    106,01      0,00      0,00      0,00      0,00
00:30:01       dev9-2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
00:40:01      dev8-16     22,18      0,36   5177,04    233,40      0,07      3,35      2,61      5,80
00:40:01       dev8-0     22,02      0,18   5172,32    234,89      0,07      3,25      2,58      5,68
00:40:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
00:40:01       dev9-1      0,81      0,00      6,50      8,00      0,00      0,00      0,00      0,00
00:40:01       dev9-3     98,47      0,22  10331,99    104,93      0,00      0,00      0,00      0,00
00:40:01       dev9-2      0,03      0,22      0,00      8,00      0,00      0,00      0,00      0,00
00:50:01      dev8-16     22,05      0,00   5446,69    246,96      0,08      3,41      2,66      5,87
00:50:01       dev8-0     22,59      0,23   5448,75    241,25      0,08      3,47      2,68      6,05
00:50:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
00:50:01       dev9-1      0,72      0,00      5,80      8,00      0,00      0,00      0,00      0,00
00:50:01       dev9-3    102,60      0,00  10879,70    106,04      0,00      0,00      0,00      0,00
00:50:01       dev9-2      0,03      0,23      0,00      8,00      0,00      0,00      0,00      0,00
01:00:01      dev8-16     71,58      0,11  31730,84    443,27      0,40      5,60      2,53     18,10
01:00:01       dev8-0     72,01      0,63  31731,00    440,64      0,40      5,51      2,54     18,26
01:00:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
01:00:01       dev9-1      0,81      0,00      6,46      8,00      0,00      0,00      0,00      0,00
01:00:01       dev9-3    531,55      0,52  63444,08    119,36      0,00      0,00      0,00      0,00
01:00:01       dev9-2      0,03      0,22      0,00      8,00      0,00      0,00      0,00      0,00
01:10:01      dev8-16    129,72    363,45  61509,38    476,97      0,80      6,14      2,51     32,52
01:10:01       dev8-0    130,46    363,45  61513,36    474,28      0,81      6,25      2,57     33,59
01:10:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
01:10:01       dev9-1      0,91      0,00      7,25      8,00      0,00      0,00      0,00      0,00
01:10:01       dev9-3   1025,67    726,31 123003,00    120,63      0,00      0,00      0,00      0,00
01:10:01       dev9-2      0,06      0,48      0,00      8,00      0,00      0,00      0,00      0,00
01:20:01      dev8-16     62,54  10508,72   4524,83    240,40      0,50      8,05      1,57      9,81
01:20:01       dev8-0     61,74  10508,00   4520,99    243,41      0,52      8,43      1,62     10,02
01:20:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
01:20:01       dev9-1      0,74      0,00      5,91      7,98      0,00      0,00      0,00      0,00
01:20:01       dev9-3    270,28  21016,71   9029,64    111,17      0,00      0,00      0,00      0,00
01:20:01       dev9-2      0,00      0,01      0,00      8,00      0,00      0,00      0,00      0,00
01:30:01      dev8-16     61,81  10305,04   4556,67    240,46      0,53      8,52      1,64     10,11
01:30:01       dev8-0     60,86  10308,77   4545,76    244,09      0,54      8,87      1,66     10,09
01:30:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
01:30:01       dev9-1      0,78      0,00      6,25      7,98      0,00      0,00      0,00      0,00
